id,name,categories,price,weight
f0082e8a-256d-4f00-8cf9-cb8432377c77,Great Eastern Entertainment Hetalia World Series England Spiral Notebook,"Toys & Games | Learning & Education | Reading & Writing | Diaries, Journals & Notebooks",7.36,0.32
5dd874d2-4b59-4efb-abe3-5fbd8ef54de3,INK+IVY Kids Luna Comforter Set,Home & Kitchen | Bedding | Kids' Bedding | Comforters & Sets | Comforter Sets,53.35,7.55
9b8462a5-bf3b-4ca0-91ba-522991898478,Hot Racing WRA08AR01 Adjustable Rear Upper 4-Link Mount - AR60 Yeti Wraith Ax10,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts,23.88,0.32
bdf28d41-9456-40a9-b3c6-791e925921e6,"SIMILKY Remote Control Car, 4WD RC Stunt Car Rotate 360 Double Sided Race RC Car Maketheone Electric Stunt Rock Crawler Unstoppable RTR Buggy High Speed Rc Trucks (Green)",Toys & Games | Hobbies | Models & Model Kits | Model Kits,75668.95,1.05
182108f8-fa47-4f9c-b23d-56676de6617f,"Team Associated 9892 12mm Aluminum Clamping Wheel Hex, Rear",Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Wheels & Tires | Wheel Hubs,42871.99,
9e279521-2d50-45a2-8d8a-65b9eb535d3e,"Babydoll Gingham Window Valance, Lavender",Baby Products | Nursery | Décor | Window Treatments | Valances,26.81,2.4
7554fb51-782b-4a8a-86d6-5af0d4c97fe4,"Eugene Textiles Disney Dumbo: in The Circus Fat Quarter Bundle 12 Pcs, Multi Each",,6.99,1.2
fd757ab3-cd85-4e1f-b82d-df6c3ce6f92a,"Pop The Pig Pop N Race, Kids Game",Toys & Games | Games & Accessories | Board Games,9.74,10.4
3f521593-6a35-4498-96eb-953783c2e6ff,Rainbow Fluffies Leg Warmers,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",15.17,7.2
641f361d-1678-438a-8ec2-30403b6753a3,"MightySkins Skin Compatible With DJI Goggles – Cork | Protective, Durable, and Unique Vinyl Decal wrap cover | Easy To Apply, Remove, and Change Styles | Made in the USA",Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicles | Quadcopters & Multirotors,19.99,0.96
1a5da0bf-4fb5-4ecf-9495-fc20c527971f,Buffalo Games - Pokémon Bubble - 500 Piece Jigsaw Puzzle,Toys & Games | Puzzles | Jigsaw Puzzles,10.99,13.6
e5a70320-9ee8-4e5f-874b-92c9e1ceaa6a,"""UglyDolls Movie"" Clear Treat Bags w/Header Cards, 40 Pc.",Toys & Games | Party Supplies | Party Favors,170886817.44,7.2
eab57c7a-7ad3-4e4c-a5c3-84b239d105bc,Funko Pop Movies: Fantastic Beasts 2 Crimes of Grindelwald - Chupacabra,,63552375.04,4.8
706a20ec-8e38-48ee-9053-332b62c0657f,Elenco 100 Capacitor Component Kit - CAPK-100,Toys & Games | Learning & Education | Science Kits & Toys,14.74,1.6
4fb08441-6653-48e9-bdc2-a12f0d5c2065,Elenco Digital Roulette Kit | Lead Free Solder | Great STEM Project | SOLDERING REQUIRED,Toys & Games | Learning & Education | Science Kits & Toys,14.57,5.6
2cda3e4e-8db3-4787-811e-21fc3e8dc06c,"LeapFrog Dino's Delightful Day Alphabet Book, Green",Toys & Games | Learning & Education | Science Kits & Toys,18.99,2.45
8a50cb6b-f5db-4122-a11e-0b62fa3348f3,"Forum Novelties Toy Maker Elf Child's Costume, Large",Toys & Games | Party Supplies,21.99,1.45
